ExpID,CellLine,DateTime,Day,Well,WellRow,WellCol,InitialCondition,Area,OuterRadius,R
ExpK,983b,03/05/2021 02:19:00 PM,0.25,H1,H,1,1250,215.3321,8.27902990951939,8.27902990951939
ExpK,983b,03/05/2021 02:19:00 PM,0.25,A2,A,2,1250,151.53,6.94503398504498,6.94503398504498
ExpK,983b,03/05/2021 02:19:00 PM,0.25,B2,B,2,1250,15.95053,2.25326682593765,2.25326682593765
ExpK,983b,03/05/2021 02:19:00 PM,0.25,D2,D,2,1250,0.0,0.0,0.0
ExpK,983b,03/05/2021 02:19:00 PM,0.25,E2,E,2,1250,79.75264,5.03845747836149,5.03845747836149
ExpK,983b,03/05/2021 02:19:00 PM,0.25,F2,F,2,1250,23.92579,2.75967670058601,2.75967670058601
ExpK,983b,03/05/2021 02:19:00 PM,0.25,G2,G,2,1250,0.0,0.0,0.0
ExpK,983b,03/05/2021 02:19:00 PM,0.25,H2,H,2,1250,55.82684,4.21547566549739,4.21547566549739
ExpK,983b,03/05/2021 02:19:00 PM,0.25,A3,A,3,1250,15.95053,2.25326682593765,2.25326682593765
ExpK,983b,03/05/2021 02:19:00 PM,0.25,B3,B,3,1250,111.6537,5.96158339193533,5.96158339193533
ExpK,983b,03/05/2021 02:19:00 PM,0.25,C3,C,3,1250,167.4805,7.30141759475544,7.30141759475544
ExpK,983b,03/05/2021 02:19:00 PM,0.25,D3,D,3,1250,374.8374,10.9231154041065,10.9231154041065
ExpK,983b,03/05/2021 02:19:00 PM,0.25,F3,F,3,1250,39.87632,3.56272744966948,3.56272744966948
ExpK,983b,03/05/2021 02:19:00 PM,0.25,G3,G,3,1250,39.87632,3.56272744966948,3.56272744966948
ExpK,983b,03/05/2021 02:19:00 PM,0.25,H3,H,3,1250,430.6642,11.7083163813348,11.7083163813348
ExpK,983b,03/05/2021 02:19:00 PM,0.25,A4,A,4,2500,933.1058,17.2341753790379,17.2341753790379
ExpK,983b,03/05/2021 02:19:00 PM,0.25,B4,B,4,2500,518.3922,12.8455969958801,12.8455969958801
ExpK,983b,03/05/2021 02:19:00 PM,0.25,C4,C,4,2500,598.1448,13.7983840796459,13.7983840796459
ExpK,983b,03/05/2021 02:19:00 PM,0.25,D4,D,4,2500,478.5158,12.3416493968653,12.3416493968653
ExpK,983b,03/05/2021 02:19:00 PM,0.25,E4,E,4,2500,582.1942,13.6131616290582,13.6131616290582
ExpK,983b,03/05/2021 02:19:00 PM,0.25,F4,F,4,2500,693.848,14.8613148109059,14.8613148109059
